都道府県名,municipality,town,小字・通称名,街区符号・地番,座標系番号,Ｘ座標,Ｙ座標,latitude,longitude,住居表示フラグ,代表フラグ,更新前履歴フラグ,更新後履歴フラグ
愛知県,半田市,南大矢知町四丁目,,207,7,-119496.1,-20886.2,34.92264,136.938063,0,1,0,0
愛知県,半田市,南大矢知町二丁目,,44,7,-119133.3,-20646,34.925916,136.940685,0,1,0,0
愛知県,半田市,南二ツ坂町一丁目,,6,7,-123169,-23657.7,34.88947,136.907834,1,1,0,0
愛知県,半田市,南二ツ坂町二丁目,,1,7,-122911.8,-23512,34.891793,136.909421,1,1,0,0
愛知県,半田市,南本町一丁目,,5,7,-123005.6,-21399.5,34.890993,136.932535,0,1,0,0
愛知県,半田市,南本町二丁目,,2,7,-123115.8,-21417.4,34.89,136.932344,0,1,0,0
愛知県,半田市,南末広町,,27,7,-122715.5,-21771.7,34.8936,136.928457,0,1,0,0
愛知県,半田市,日ノ出町,,48,7,-123224,-20889,34.889035,136.938126,0,1,0,0
愛知県,半田市,日東町,,1,7,-122777.1,-18820.7,34.893104,136.960746,0,1,0,0
愛知県,半田市,祢宜町,,1,7,-121354.8,-19616.5,34.905909,136.952006,0,1,0,0
愛知県,半田市,馬捨町,,53,7,-121366,-25335.2,34.905683,136.889427,0,1,0,0
愛知県,半田市,白山町一丁目,,16,7,-122614,-22144.9,34.894506,136.924371,0,1,0,0
愛知県,半田市,白山町五丁目,,202,7,-122532.8,-23053.2,34.895218,136.91443,1,1,0,0
愛知県,半田市,白山町三丁目,,2,7,-122799.8,-22683,34.89282,136.918488,0,1,0,0
愛知県,半田市,白山町四丁目,,1,7,-122728.5,-22559,34.893467,136.919841,0,1,0,0
愛知県,半田市,白山町二丁目,,29,7,-122861.6,-22163.4,34.892274,136.924174,0,1,0,0
愛知県,半田市,畑合町,,26,7,-123484.5,-21966.2,34.886664,136.926348,0,1,0,0
愛知県,半田市,八軒町,,28,7,-122248.1,-20103.4,34.897848,136.946698,0,1,0,0
愛知県,半田市,板山町一丁目,,100,7,-123124.1,-25156.2,34.889839,136.891438,0,1,0,0
愛知県,半田市,板山町九丁目,,117,7,-123304.8,-25526.5,34.888201,136.887392,0,1,0,0
愛知県,半田市,板山町五丁目,,72,7,-123641.1,-25075.4,34.885181,136.892337,0,1,0,0
愛知県,半田市,板山町三丁目,,71,7,-123431.6,-24981.9,34.88707,136.893353,0,1,0,0
愛知県,半田市,板山町四丁目,,65,7,-123631.3,-24666.5,34.885278,136.896809,0,1,0,0
愛知県,半田市,板山町七丁目,,10,7,-123538.3,-25657.2,34.886091,136.885969,0,1,0,0
愛知県,半田市,板山町十一丁目,,77,7,-122961.1,-25702,34.891294,136.885461,0,1,0,0
愛知県,半田市,板山町十五丁目,,119,7,-122665.3,-26450.5,34.89394,136.877262,0,1,0,0
愛知県,半田市,板山町十三丁目,,101,7,-123050.8,-25907.5,34.890481,136.883215,0,1,0,0
愛知県,半田市,板山町十四丁目,,1,7,-122821.3,-26383.7,34.892536,136.877998,0,1,0,0
愛知県,半田市,板山町十丁目,,119,7,-123032.6,-25479.2,34.890656,136.887901,0,1,0,0
愛知県,半田市,板山町十二丁目,,1,7,-122708.3,-25751.2,34.893571,136.884915,0,1,0,0
愛知県,半田市,板山町二丁目,,117,7,-123381.8,-25212.5,34.887515,136.890829,0,1,0,0
愛知県,半田市,板山町八丁目,,81,7,-123372.8,-25610,34.887585,136.886481,0,1,0,0
愛知県,半田市,板山町六丁目,,4,7,-123521.3,-25229.2,34.886254,136.89065,0,1,0,0
愛知県,半田市,飯森町,,125,7,-120505.6,-20265.5,34.913552,136.944882,0,1,0,0
