都道府県名,municipality,oaza,aza,街区符号・地番,座標系番号,Ｘ座標,Ｙ座標,latitude,longitude,住居表示フラグ,代表フラグ,更新前履歴フラグ,更新後履歴フラグ
愛知県,武豊町,大字なし,字山ノ神,135,7,-126914.3,-23361.7,34.855713,136.911176,0,1,0,0
愛知県,武豊町,大字なし,字平井畑,6,7,-126482.1,-23354.4,34.85961,136.911245,0,1,0,0
愛知県,武豊町,大字なし,字中根四丁目,1,7,-127098,-23361.2,34.854058,136.911188,0,1,0,0
愛知県,武豊町,大字東大高,光明寺,1,7,-129068.3,-23359.7,34.836295,136.911259,0,1,0,0
愛知県,武豊町,大字冨貴,上椎ノ木,78,7,-131117,-23314.5,34.817827,136.911809,0,1,0,0
愛知県,武豊町,大字冨貴,海道,60,7,-129710.1,-23336,34.830509,136.911534,0,1,0,0
愛知県,武豊町,大字なし,字天神前二丁目,91,7,-126432.3,-23280.5,34.860061,136.912051,0,1,0,0
愛知県,武豊町,大字なし,字天神前一丁目,1,7,-126185,-23299.2,34.86229,136.91184,0,1,0,0
愛知県,武豊町,大字なし,字二ケ崎二丁目,1,7,-126064.8,-23312,34.863373,136.911697,0,1,0,0
愛知県,武豊町,大字なし,字二ケ崎一丁目,1,7,-126023.3,-23295.2,34.863746,136.911879,0,1,0,0
愛知県,武豊町,大字なし,字砂川二丁目,10,7,-125913.5,-23297.2,34.864738,136.911854,0,1,0,0
愛知県,武豊町,大字なし,字砂川一丁目,12,7,-125625.6,-23288.5,34.867333,136.911941,0,1,0,0
愛知県,武豊町,大字なし,字豊成一丁目,172,7,-125385,-23268,34.869503,136.91216,0,1,0,0
愛知県,武豊町,大字なし,字向陽二丁目,15,7,-127707.3,-23213.4,34.848567,136.912822,0,1,0,0
愛知県,武豊町,大字なし,字川尻,21,7,-127930.1,-23144.7,34.846559,136.913578,0,1,0,0
愛知県,武豊町,大字冨貴,上石神,1,7,-131614,-23198,34.81335,136.913096,0,1,0,0
愛知県,武豊町,大字東大高,郷道南,7,7,-129247.8,-23244.2,34.834679,136.912526,0,1,0,0
愛知県,武豊町,大字東大高,池下,10,7,-128925.5,-23232,34.837586,136.91265,0,1,0,0
愛知県,武豊町,大字東大高,中瀬郷,32,7,-129140.6,-23245.2,34.835647,136.912512,0,1,0,0
愛知県,武豊町,大字東大高,烏田,61,7,-129292.8,-23250,34.834274,136.912464,0,1,0,0
愛知県,武豊町,大字なし,字石田,2,7,-128230.6,-23178.7,34.843851,136.913215,0,1,0,0
愛知県,武豊町,大字冨貴,外面,73,7,-130124.8,-23183,34.826774,136.91322,0,1,0,0
愛知県,武豊町,大字冨貴,外前田,83,7,-130141.3,-23253.2,34.826624,136.912452,0,1,0,0
愛知県,武豊町,大字東大高,中池下,1,7,-128683.6,-23140.9,34.839767,136.913641,0,1,0,0
愛知県,武豊町,大字なし,字池田一丁目,1,7,-126199.8,-23172.7,34.862158,136.913224,0,1,0,0
愛知県,武豊町,大字冨貴,新田,3,7,-130699.3,-23084.9,34.821598,136.914309,0,1,0,0
愛知県,武豊町,大字なし,字道崎,3,7,-127693.1,-23091.5,34.848699,136.914153,0,1,0,0
愛知県,武豊町,大字冨貴,林平井,31,7,-130248.1,-23075.7,34.825665,136.914397,0,1,0,0
愛知県,武豊町,大字なし,字草口,18,7,-128144.1,-23116,34.844631,136.913896,0,1,0,0
愛知県,武豊町,大字なし,字長尾山,15,7,-127279.3,-23080.2,34.852429,136.914265,0,1,0,0
愛知県,武豊町,大字なし,字砂川三丁目,13,7,-125860.6,-23108.5,34.865217,136.913917,0,1,0,0
愛知県,武豊町,大字なし,字瀬木,30,7,-127814,-23105.5,34.847608,136.914003,0,1,0,0
愛知県,武豊町,大字東大高,土穴,47,7,-128954.6,-23073.4,34.837325,136.914387,0,1,0,0
愛知県,武豊町,大字なし,字目堀,20,7,-127990,-22994.9,34.846024,136.915218,0,1,0,0
愛知県,武豊町,大字なし,字池田二丁目,1,7,-126323,-23031.2,34.861052,136.914774,0,1,0,0
愛知県,武豊町,大字東大高,長田,38,7,-129294.8,-23056.7,34.83426,136.914578,0,1,0,0
愛知県,武豊町,大字なし,字道崎田,9,7,-127774.8,-23050,34.847962,136.914609,0,1,0,0
愛知県,武豊町,大字東大高,郷道東,9,7,-129232.6,-23035.5,34.834822,136.914806,0,1,0,0
愛知県,武豊町,大字東大高,知里付,3,7,-129425.3,-23028.4,34.833083,136.914891,0,1,0,0
愛知県,武豊町,大字東大高,本田,6,7,-129543.3,-22873.4,34.832025,136.91659,0,1,0,0
愛知県,武豊町,大字東大高,野中,1,7,-128777.1,-22933.4,34.838929,136.915912,0,1,0,0
愛知県,武豊町,大字東大高,西長峰,25,7,-128623.1,-22844.9,34.840321,136.916875,0,1,0,0
愛知県,武豊町,大字冨貴,小桜,61,7,-130071.1,-22926,34.827264,136.916028,0,1,0,0
愛知県,武豊町,大字なし,字北新田,48,7,-128132.8,-22935.5,34.844738,136.915872,0,1,0,0
愛知県,武豊町,大字なし,字下門,2,7,-126587.6,-22965,34.858668,136.915506,0,1,0,0
愛知県,武豊町,大字冨貴,東椎ノ木,130,7,-130792.1,-23011.5,34.820762,136.915113,0,1,0,0
愛知県,武豊町,大字なし,字西田崎,6,7,-127744,-22933.7,34.848244,136.915881,0,1,0,0
愛知県,武豊町,大字なし,字四畝,1,7,-128259.1,-22973.5,34.843598,136.915458,0,1,0,0
愛知県,武豊町,大字なし,字中狭,73,7,-125841.1,-22853.4,34.865398,136.916707,0,1,0,0
愛知県,武豊町,大字冨貴,東門,1,7,-129764.1,-22904.7,34.830033,136.916254,0,1,0,0
愛知県,武豊町,大字なし,字西門,37,7,-126990.1,-22915,34.855041,136.916064,0,1,0,0
愛知県,武豊町,大字なし,字中蓮,1,7,-125627.5,-22832.7,34.867325,136.916928,0,1,0,0
愛知県,武豊町,大字なし,字土穴,48,7,-127904.6,-22902,34.846797,136.91623,0,1,0,0
愛知県,武豊町,大字冨貴,下石神,27,7,-131526.1,-22821.9,34.814151,136.917205,0,1,0,0
愛知県,武豊町,大字なし,字若宮,5,7,-126229.1,-22867,34.861902,136.916569,0,1,0,0
愛知県,武豊町,大字冨貴,茶ノ木,1,7,-130623.3,-22777.5,34.822291,136.917666,0,1,0,0
愛知県,武豊町,大字なし,字ヱケ屋敷,77,7,-126495.1,-22871.7,34.859504,136.916524,0,1,0,0
愛知県,武豊町,大字なし,字上ケ,121,7,-126755.1,-22871.9,34.857159,136.916529,0,1,0,0
愛知県,武豊町,大字冨貴,大塚,17,7,-130403.6,-22828.7,34.824269,136.9171,0,1,0,0
愛知県,武豊町,大字東大高,池田,37,7,-128845.5,-22803.5,34.838317,136.917335,0,1,0,0
愛知県,武豊町,大字なし,字後田,1,7,-127512.1,-22639,34.85034,136.919095,0,1,0,0
愛知県,武豊町,大字冨貴,砂水,6,7,-130107.8,-22811.2,34.826936,136.917283,0,1,0,0
愛知県,武豊町,大字なし,字高野前,66,7,-126917.3,-22753.5,34.855699,136.917827,0,1,0,0
愛知県,武豊町,大字なし,字田崎,1,7,-127662.6,-22740.9,34.848981,136.917986,0,1,0,0
愛知県,武豊町,大字なし,字山起,1,7,-128286.3,-22754.5,34.843358,136.917855,0,1,0,0
愛知県,武豊町,大字冨貴,北側,1,7,-129522.6,-22679,34.832214,136.918712,0,1,0,0
愛知県,武豊町,大字冨貴,笠松,8,7,-131229.8,-22738.9,34.816823,136.918104,0,1,0,0
愛知県,武豊町,大字なし,字大屋敷,35,7,-127962.1,-22739,34.84628,136.918014,0,1,0,0
愛知県,武豊町,大字なし,字長峰,1,7,-128496.3,-22703,34.841467,136.918423,0,1,0,0
愛知県,武豊町,大字冨貴,南側,1,7,-129959.5,-22747.7,34.828274,136.917973,0,1,0,0
愛知県,武豊町,大字東大高,石曽根,1,7,-129137.1,-22657,34.835692,136.918943,0,1,0,0
愛知県,武豊町,大字冨貴,市場,90,7,-129849.1,-22756.2,34.82927,136.917878,0,1,0,0
愛知県,武豊町,大字なし,字石川,1,7,-125572.6,-22698.9,34.867823,136.918388,0,1,0,0
愛知県,武豊町,大字冨貴,山崎,81,7,-130838.1,-22692,34.820354,136.918607,0,1,0,0
愛知県,武豊町,大字なし,字熊野,1,7,-127854.1,-22692.7,34.847256,136.918518,0,1,0,0
愛知県,武豊町,大字冨貴,篭田,1,7,-130587.6,-22672.5,34.822614,136.918813,0,1,0,0
愛知県,武豊町,大字東大高,砂畑,87,7,-129266,-22651.2,34.83453,136.919009,0,1,0,0
愛知県,武豊町,大字東大高,塔ノ下,5,7,-128798.8,-22593.5,34.83874,136.919627,0,1,0,0
愛知県,武豊町,大字冨貴,三反田,68,7,-131045.6,-22665,34.818486,136.918909,0,1,0,0
愛知県,武豊町,大字なし,字内かんな,1,7,-126197.6,-22629.4,34.862191,136.919165,0,1,0,0
愛知県,武豊町,大字なし,字浅水,21,7,-126016.6,-22606.7,34.863822,136.919409,0,1,0,0
愛知県,武豊町,大字冨貴,下鐘鋳,15,7,-131563.2,-22685.7,34.81382,136.918695,0,1,0,0
愛知県,武豊町,大字冨貴,臓ノ内,36,7,-131138.3,-22591,34.817652,136.919718,0,1,0,0
愛知県,武豊町,大字東大高,浦之島,87,7,-129502,-22621,34.832402,136.919348,0,1,0,0
愛知県,武豊町,大字なし,字廻間,1,7,-128691,-22574,34.839714,136.919838,0,1,0,0
愛知県,武豊町,大字なし,字平海道,49,7,-127663.3,-22561,34.848979,136.919952,0,1,0,0
愛知県,武豊町,大字なし,字前田,66,7,-126415.3,-22583.5,34.860228,136.919675,0,1,0,0
愛知県,武豊町,大字なし,字口田,26,7,-126218,-22558.9,34.862009,136.919938,0,1,0,0
愛知県,武豊町,大字なし,字塩田,218,7,-125822.3,-22515.7,34.865575,136.920399,0,1,0,0
愛知県,武豊町,大字東大高,中浜田,64,7,-129055.3,-22540,34.836432,136.92022,0,1,0,0
愛知県,武豊町,大字東大高,北浜田,25,7,-128973.3,-22533.5,34.83717,136.920289,0,1,0,0
愛知県,武豊町,大字なし,字竜宮,1,7,-131179.6,-22219.9,34.817289,136.923777,0,1,0,0
愛知県,武豊町,大字なし,字金下,1,7,-127128.3,-22458.7,34.853805,136.921059,0,1,0,0
愛知県,武豊町,大字なし,字里中,103,7,-128075.8,-22510.4,34.845261,136.920517,0,1,0,0
愛知県,武豊町,大字なし,字前畑,1,7,-128333.3,-22447.7,34.842942,136.92121,0,1,0,0
愛知県,武豊町,大字冨貴,森萬新田,1,7,-129801.3,-22445.2,34.829707,136.921276,0,1,0,0
愛知県,武豊町,大字なし,字川脇,15,7,-127497.3,-22383.5,34.850479,136.92189,0,1,0,0
愛知県,武豊町,大字なし,字下田,38,7,-128772.1,-22412.2,34.838988,136.921609,0,1,0,0
愛知県,武豊町,大字なし,字ヒジリ田,39,7,-126693.8,-22444.7,34.857722,136.921199,0,1,0,0
愛知県,武豊町,大字東大高,豊倉新田,1,7,-129475.5,-22379.5,34.832647,136.921986,0,1,0,0
愛知県,武豊町,大字なし,字小迎,46,7,-126956.1,-22380.5,34.855359,136.921908,0,1,0,0
愛知県,武豊町,大字なし,字忠白田,3,7,-128407.3,-22368,34.842275,136.922084,0,1,0,0
愛知県,武豊町,大字なし,字後畑,2,7,-127759.3,-22272.4,34.84812,136.923113,0,1,0,0
愛知県,武豊町,大字なし,字一号地,17,7,-128829.3,-22309.9,34.838473,136.92273,0,1,0,0
愛知県,武豊町,大字なし,字堀割,54,7,-127363.1,-22308.5,34.851691,136.922707,0,1,0,0
愛知県,武豊町,大字なし,字旭,1,7,-129248.3,-22265.2,34.834696,136.923229,0,1,0,0
愛知県,武豊町,大字なし,字北曲輪,1,7,-125674.6,-22167.7,34.866916,136.924202,0,1,0,0
愛知県,武豊町,大字なし,字明神戸,18,7,-127562.1,-22166.7,34.849899,136.924262,0,1,0,0
愛知県,武豊町,大字なし,字七号地,1,7,-126360.3,-22184.2,34.860733,136.924038,0,1,0,0
愛知県,武豊町,大字なし,字道仙田,71,7,-128046,-22195.2,34.845537,136.923962,0,1,0,0
愛知県,武豊町,大字なし,字沢田新田,89,7,-126646.5,-22117.2,34.858156,136.924779,0,1,0,0
愛知県,武豊町,大字なし,字九号地,1,7,-125641,-21884.5,34.867226,136.927299,0,1,0,0
愛知県,武豊町,大字なし,字五号地,1,7,-127132.3,-21623.5,34.853786,136.930192,0,1,0,0
愛知県,武豊町,大字冨貴,北曽原,10,7,-129377.5,-25284.7,34.833461,136.890221,0,1,0,0
